original word,preprocessed word 1 (lacksknowledge to NA),preprocessed word 2 (no spaces),preprocessed word 3 (lemmatized),preprocessed word 4 (minus one trailing s),Sociability dictionary,Sociability direction,Ability dictionary,Ability direction
accoutrement,accoutrement,accoutrement,accoutrement,accoutrement,0,NA,0,NA
accumulator,accumulator,accumulator,accumulator,accumulator,0,NA,0,NA
accurate,accurate,accurate,accurate,accurate,0,NA,1,1
accuse,accuse,accuse,accuse,accuse,0,NA,0,NA
accustomed,accustomed,accustomed,accustomed,accustomed,0,NA,0,NA
ace,ace,ace,ace,ace,0,NA,1,1
acedia,acedia,acedia,acedia,acedia,0,NA,0,NA
acerbic,acerbic,acerbic,acerbic,acerbic,1,-1,0,NA
Achaean,achaean,achaean,achaean,achaean,0,NA,0,NA
ache,ache,ache,ache,ache,0,NA,0,NA
achiever,achiever,achiever,achiever,achiever,0,NA,1,1
achondroplasia,achondroplasia,achondroplasia,achondroplasia,achondroplasia,0,NA,0,NA
acid,acid,acid,acid,acid,1,-1,0,NA
acidemia,acidemia,acidemia,acidemia,acidemia,0,NA,0,NA
acidosis,acidosis,acidosis,acidosis,acidosi,0,NA,0,NA
acne,acne,acne,acne,acne,0,NA,0,NA
acne rosacea,acne rosacea,acnerosacea,acnerosacea,acnerosacea,0,NA,0,NA
acne vulgaris,acne vulgaris,acnevulgaris,acnevulgaris,acnevulgari,0,NA,0,NA
acolyte,acolyte,acolyte,acolyte,acolyte,0,NA,0,NA
acoustic,acoustic,acoustic,acoustic,acoustic,0,NA,0,NA
acoustical,acoustical,acoustical,acoustical,acoustical,0,NA,0,NA
acoustician,acoustician,acoustician,acoustician,acoustician,0,NA,0,NA
acoustics,acoustics,acoustics,acoustics,acoustic,0,NA,0,NA
acquaint,acquaint,acquaint,acquaint,acquaint,0,NA,0,NA
acquire,acquire,acquire,acquire,acquire,0,NA,1,1
acquired immune deficiency syndrome,acquired immune deficiency syndrome,acquiredimmunedeficiencysyndrome,acquiredimmunedeficiencysyndrome,acquiredimmunedeficiencysyndrome,0,NA,0,NA
acquirement,acquirement,acquirement,acquirement,acquirement,0,NA,1,1
acquisition,acquisition,acquisition,acquisition,acquisition,0,NA,1,1
acrid,acrid,acrid,acrid,acrid,1,-1,0,NA
acrimonious,acrimonious,acrimonious,acrimonious,acrimoniou,1,0,0,NA
act,act,act,act,act,0,NA,0,NA
acting,acting,acting,act,act,0,NA,0,NA
actinic keratosis,actinic keratosis,actinickeratosis,actinickeratosis,actinickeratosi,0,NA,0,NA
action,action,action,action,action,0,NA,0,NA
active,active,active,active,active,0,NA,0,NA
activeness,activeness,activeness,activeness,activenes,0,NA,0,NA
activewear,activewear,activewear,activewear,activewear,0,NA,0,NA
activist,activist,activist,activist,activist,0,NA,0,NA
activity,activity,activity,activity,activity,0,NA,0,NA
actor,actor,actor,actor,actor,0,NA,0,NA
actress,actress,actress,actress,actres,0,NA,0,NA
actuary,actuary,actuary,actuary,actuary,0,NA,0,NA
actuated,actuated,actuated,actuated,actuated,0,NA,0,NA
actus reus,actus reus,actusreus,actusreus,actusreu,0,NA,0,NA
acuity,acuity,acuity,acuity,acuity,0,NA,1,1
acumen,acumen,acumen,acumen,acumen,0,NA,1,1
acute leukemia,acute leukemia,acuteleukemia,acuteleukemia,acuteleukemia,0,NA,0,NA
acute lymphoblastic leukemia,acute lymphoblastic leukemia,acutelymphoblasticleukemia,acutelymphoblasticleukemia,acutelymphoblasticleukemia,0,NA,0,NA
acute lymphocytic leukemia,acute lymphocytic leukemia,acutelymphocyticleukemia,acutelymphocyticleukemia,acutelymphocyticleukemia,0,NA,0,NA
